,Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start X,Start Y,End X,End Y,Distance X,Distance Y,Distance Z
177,Home,RECOVERY,,1,13814,552.56,13814,552.56,Player9,,0.73,0.56,,,,,
178,Home,CHALLENGE,TACKLE-LOST,1,13843,553.72,13843,553.72,Player9,,0.8,0.52,,,,,
179,Home,BALL LOST,THEFT,1,13843,553.72,13843,553.72,Player9,,0.8,0.52,,,,,
180,Away,CHALLENGE,TACKLE-WON,1,13844,553.76,13844,553.76,Player16,,0.81,0.53,,,,,
181,Away,RECOVERY,THEFT,1,13844,553.76,13844,553.76,Player16,,0.81,0.53,,,,,
182,Away,BALL OUT,CLEARANCE,1,13886,555.44,13987,559.48,Player16,,0.89,0.48,0.96,-0.04,0.06999999999999995,0.52,0.5246903848937963
183,Home,SET PIECE,THROW IN,1,14574,582.96,14574,582.96,Player4,,,,,,,,
184,Home,PASS,,1,14574,582.96,14607,584.28,Player4,Player9,0.86,-0.02,0.96,0.1,0.09999999999999998,0.12000000000000001,0.15620499351813308
185,Home,PASS,,1,14607,584.28,14637,585.48,Player9,Player4,0.96,0.1,0.83,0.01,0.13,0.09000000000000001,0.15811388300841897
186,Home,PASS,,1,14637,585.48,14666,586.64,Player4,Player8,0.83,0.01,0.92,0.21,0.09000000000000008,0.19999999999999998,0.21931712199461312
187,Home,BALL LOST,INTERCEPTION,1,14730,589.2,14741,589.64,Player8,,0.97,0.28,0.92,0.4,0.04999999999999993,0.12,0.12999999999999998
188,Away,RECOVERY,INTERCEPTION,1,14741,589.64,14741,589.64,Player21,,0.93,0.39,,,,,
189,Away,PASS,,1,14772,590.88,14793,591.72,Player21,Player19,0.91,0.35,0.83,0.31,0.08000000000000007,0.03999999999999998,0.08944271909999164
190,Away,PASS,,1,14793,591.72,14815,592.6,Player19,Player16,0.83,0.31,0.92,0.37,0.09000000000000008,0.06,0.10816653826391975
191,Away,PASS,,1,14834,593.36,14870,594.8,Player16,Player21,0.91,0.35,0.8,0.12,0.10999999999999999,0.22999999999999998,0.2549509756796392
192,Away,PASS,,1,14870,594.8,14890,595.6,Player21,Player18,0.8,0.12,0.83,0.13,0.029999999999999916,0.010000000000000009,0.031622776601683715
193,Away,PASS,,1,14890,595.6,14924,596.96,Player18,Player24,0.83,0.13,0.59,0.12,0.24,0.010000000000000009,0.24020824298928628
194,Away,BALL LOST,,1,14967,598.68,15046,601.84,Player24,,0.58,0.04,0.31,0.06,0.26999999999999996,0.019999999999999997,0.2707397274136176
195,Home,RECOVERY,,1,15043,601.72,15043,601.72,Player2,,0.33,0.13,,,,,
196,Home,PASS,,1,15043,601.72,15109,604.36,Player2,Player11,0.33,0.13,0.16,0.43,0.17,0.3,0.34481879299133333
197,Home,BALL LOST,INTERCEPTION,1,15152,606.08,15224,608.96,Player11,,0.16,0.52,0.57,0.87,0.4099999999999999,0.35,0.5390732788777421
198,Away,CHALLENGE,AERIAL-WON,1,15222,608.88,15222,608.88,Player17,,0.54,0.84,,,,,
199,Away,RECOVERY,INTERCEPTION,1,15222,608.88,15222,608.88,Player17,,0.54,0.84,,,,,
200,Away,BALL LOST,HEAD,1,15222,608.88,15270,610.8,Player17,,0.54,0.84,0.39,0.91,0.15000000000000002,0.07000000000000006,0.16552945357246854
201,Home,CHALLENGE,AERIAL-LOST,1,15224,608.96,15224,608.96,Player5,,0.53,0.84,,,,,
